settled_date,league,home_team,away_team,market,bets,staked,profit_loss,roi_pct,pdf_proof
2026-03-17,Bundesliga,VfB Stuttgart,RB Leipzig,1X2,2,175,299,170.9,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1388540_1x2_15.03.2026%20VfB%20Stuttgart%20vs%20RB%20Leipzig.pdf
2026-03-17,La Liga,Rayo Vallecano,Levante,1X2,2,200,-200,-100,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1391095_1x2_16.03.2026%20Rayo%20Vallecano%20vs%20Levante%20UD.pdf
2026-03-18,UEFA Champions League,Tottenham,Atletico Madrid,1X2,2,192,299.52,156,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1528331_1x2_18.03.2026%20Tottenham%20Hotspur%20vs%20Atletico%20de%20Madrid.pdf
2026-03-23,Ligue 1,Auxerre,Stade Brestois 29,1X2,2,200,272,136,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1387932_1x2_22.02.2026%20AJ%20Auxerre%20vs%20Stade%20Rennais.pdf
2026-03-23,La Liga,Elche,Mallorca,1X2,3,300,299.6,99.9,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1391102_1x2_21.03.2026%20Elche%20vs%20RCD%20Mallorca.pdf
2026-03-23,Premier League,Brighton,Liverpool,1X2,1,37,-37,-100,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1379271_1x2_21.03.2026%20Brighton%20&%20Hove%20Albion%20vs%20Liverpool.pdf
2026-03-23,Serie A,Parma,Cremonese,1X2,2,165,-165,-100,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1378162_1x2_21.03.2026%20Parma%20vs%20Cremonese.pdf
2026-04-10,La Liga,Real Madrid,Girona,1X2,1,100,-100,-100,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1391126_1x2_11.04.2026%20Real%20Madrid%20vs%20Girona%20(1x2).pdf
2026-04-10,Bundesliga,FC Augsburg,1899 Hoffenheim,1X2,2,200,82,41,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1388560_1x2_11.04.2026%20Augsburg%20vs%20TSG%201899%20Hoffenheim.pdf
2026-04-10,Serie A,Lazio,Parma,1X2,1,100,-100,-100,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1378167_1x2_04.04.2026%20Lazio%20vs%20Parma.pdf
2026-04-10,Ligue 1,Strasbourg,Nice,1X2,1,100,123,123,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1387949_1x2_04.04.2026%20RC%20Strasbourg%20vs%20OGC%20Nice%20(1x2).pdf
2026-04-10,La Liga,Real Sociedad,Levante,1X2,1,100,63,63,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1391116_1x2_04.04.2026%20Real%20Sociedad%20vs%20Levante%20UD%20(1x2).pdf
2026-04-10,Serie A,Sassuolo,Cagliari,1X2,1,100,-100,-100,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1378171_1x2_04.04.2026%20Sassuolo%20vs%20Cagliari%20(1x2).pdf
2026-04-10,La Liga,Alaves,Osasuna,1X2,2,200,-200,-100,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1391109_1x2_05.04.2026%20Deportivo%20Alaves%20vs%20CA%20Osasuna.pdf
2026-04-10,La Liga,Getafe,Athletic Club,1X2,2,200,152,76,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1391112_1x2_05.04.2026%20Getafe%20CF%20vs%20Athletic%20Bilbao.pdf
2026-04-10,Ligue 1,Lorient,Paris FC,1X2,2,200,-200,-100,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1387945_1x2_05.04.2026%20Lorient%20vs%20Paris%20FC%20.pdf
2026-04-10,La Liga,Girona,Villarreal,1X2,1,100,54,54,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1391113_1x2_06.04.2026%20Girona%20vs%20Villarreal%20CF.pdf
2026-04-10,Serie A,Napoli,AC Milan,1X2,1,100,-100,-100,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1378169_1x2_06.04.2026%20Napoli%20vs%20AC%20Milan.pdf
2026-04-12,La Liga,Sevilla,Atletico Madrid,1X2,1,100,46,46,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1391128_1x2_11.04.2026%20Sevilla%20vs%20Atletico%20de%20Madrid%20(1x2).pdf
2026-04-12,La Liga,Real Sociedad,Alaves,1X2,3,300,-27,-9,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1391127_1x2_11.04.2026%20Real%20Sociedad%20vs%20Deportivo%20Alaves%20(1x2).pdf
2026-04-12,La Liga,Elche,Valencia,1X2,2,200,-72,-36,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1391122_1x2_11.04.2026%20Elche%20vs%20Valencia%20CF%20(1x2).pdf
2026-04-12,Serie A,AC Milan,Udinese,1X2,2,200,170.01,85,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1378180_1x2_11.04.2026%20AC%20Milan%20vs%20Udinese%20(1x2).pdf
2026-04-12,Serie A,Cagliari,Cremonese,1X2,2,200,63,31.5,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1378176_1x2_11.04.2026%20Cagliari%20vs%20Cremonese%20(1x2).pdf
2026-04-12,Serie A,Torino,Hellas Verona,1X2,2,200,-61,-30.5,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1378183_1x2_11.04.2026%20Torino%20vs%20Verona%20(1x2).pdf
2026-04-12,Serie A,Atalanta,Juventus,1X2,3,300,172,57.3,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1378174_1x2_11.04.2026%20Atalanta%20vs%20Juventus%20(1x2).pdf
2026-04-12,Ligue 1,Auxerre,Nantes,1X2,2,200,64,32,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1387950_1x2_11.04.2026%20AJ%20Auxerre%20vs%20Nantes%20(1x2).pdf
2026-04-12,Bundesliga,VfL Wolfsburg,Eintracht Frankfurt,1X2,1,100,65,65,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1388568_1x2_11.04.2026%20VfL%20Wolfsburg%20vs%20Eintracht%20Frankfurt%20(1x2).pdf
2026-04-12,Bundesliga,RB Leipzig,Borussia Mönchengladbach,1X2,2,200,-91,-45.5,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1388565_1x2_11.04.2026%20RB%20Leipzig%20vs%20Borussia%20Monchengladbach%20(1x2).pdf
2026-04-12,Bundesliga,1. FC Heidenheim,Union Berlin,1X2,1,100,71,71,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1388563_1x2_11.04.2026%20FC%20Heidenheim%201846%20vs%20Union%20Berlin%20(1x2).pdf
2026-04-12,Bundesliga,Borussia Dortmund,Bayer Leverkusen,1X2,2,200,-18,-9,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1388561_1x2_11.04.2026%20Borussia%20Dortmund%20vs%20Bayer%2004%20Leverkusen%20(1x2).pdf
2026-04-12,Premier League,Brentford,Everton,1X2,2,200,86,43,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1379280_1x2_11.04.2026%20Brentford%20vs%20Everton%20(1x2).pdf
2026-04-12,Premier League,Liverpool,Fulham,1X2,2,200,-99.62,-49.8,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1379284_1x2_11.04.2026%20Liverpool%20vs%20Fulham%20(1x2).pdf
